MEDIA_ID,Category,Level,Orientation
14,Color,100,V
15,Color,100,H
19,Color,80,V
25,Color,80,H
30,Color,100,H
33,Color,80,H
36,Color,80,H
39,Color,70,V
42,Color,70,V
45,Color,90,H
49,Color,70,H
52,Color,80,V
55,Color,70,H
58,Color,90,H
61,Color,100,V
64,Color,100,H
67,Color,70,H
70,Color,90,V
73,Color,80,H
79,Color,70,V
82,Color,90,H
85,Color,90,V
88,Color,80,V
91,Color,70,H
94,Color,90,V
97,Color,100,V
100,Color,70,H
103,Color,70,V
106,Color,80,V
109,Color,90,H
112,Color,80,H
115,Color,100,V
118,Color,90,H
121,Color,100,H
124,Color,90,V
127,Color,80,V
130,Color,100,H
133,Color,90,V
383,Color,100,V
386,Color,100,H
389,Color,80,V
1142,Color,70,V
395,Color,100,V
398,Color,100,H
401,Color,90,H
404,Color,80,V
407,Color,90,H
1145,Color,100,V
410,Color,90,H
413,Color,80,V
416,Color,80,H
419,Color,90,V
422,Color,90,V
425,Color,80,H
428,Color,90,V
431,Color,70,V
434,Color,90,H
437,Color,100,V
440,Color,80,V
443,Color,70,H
449,Color,70,V
452,Color,80,V
455,Color,80,H
458,Color,70,V
461,Color,70,H
464,Color,90,H
467,Color,100,V
470,Color,70,H
473,Color,70,V
476,Color,90,V
479,Color,80,H
482,Color,100,H
485,Color,70,V
488,Color,70,H
491,Color,90,V
494,Color,80,H
497,Color,100,H
500,Color,100,V
503,Color,70,H
506,Color,100,H
138,Gabor,100,V
141,Gabor,100,H
144,Gabor,80,V
147,Gabor,90,H
150,Gabor,100,H
153,Gabor,100,V
156,Gabor,80,H
159,Gabor,80,H
162,Gabor,70,V
165,Gabor,70,V
171,Gabor,70,H
174,Gabor,80,V
177,Gabor,70,H
180,Gabor,90,H
183,Gabor,100,V
186,Gabor,100,H
189,Gabor,70,H
192,Gabor,90,V
195,Gabor,80,H
198,Gabor,70,V
201,Gabor,70,V
204,Gabor,90,H
207,Gabor,90,V
210,Gabor,80,V
213,Gabor,70,H
216,Gabor,90,V
219,Gabor,100,V
222,Gabor,70,H
225,Gabor,70,V
228,Gabor,80,V
231,Gabor,90,H
234,Gabor,80,H
237,Gabor,100,V
240,Gabor,90,H
243,Gabor,100,H
246,Gabor,90,V
249,Gabor,80,V
252,Gabor,100,H
255,Gabor,90,V
509,Gabor,100,V
512,Gabor,100,H
515,Gabor,80,V
518,Gabor,100,V
521,Gabor,100,H
524,Gabor,90,H
528,Gabor,80,V
531,Gabor,90,H
534,Gabor,90,H
537,Gabor,80,V
540,Gabor,80,H
543,Gabor,90,V
546,Gabor,90,V
549,Gabor,80,H
552,Gabor,90,V
1140,Gabor,80,H
555,Gabor,70,V
559,Gabor,90,H
562,Gabor,100,V
565,Gabor,80,V
568,Gabor,70,H
571,Gabor,70,V
574,Gabor,80,V
577,Gabor,80,H
580,Gabor,70,V
583,Gabor,70,H
586,Gabor,90,H
589,Gabor,100,V
592,Gabor,70,H
595,Gabor,70,V
598,Gabor,90,V
601,Gabor,80,H
604,Gabor,100,H
607,Gabor,70,V
610,Gabor,70,H
613,Gabor,90,V
616,Gabor,80,H
619,Gabor,100,H
622,Gabor,100,V
625,Gabor,70,H
628,Gabor,100,H
260,Lumin,100,V
263,Lumin,100,H
266,Lumin,80,V
269,Lumin,80,H
272,Lumin,100,H
276,Lumin,100,V
279,Lumin,80,H
282,Lumin,80,H
285,Lumin,70,V
288,Lumin,70,V
291,Lumin,90,H
294,Lumin,70,H
297,Lumin,80,V
300,Lumin,70,H
303,Lumin,90,H
306,Lumin,100,V
309,Lumin,100,H
312,Lumin,70,H
318,Lumin,80,H
321,Lumin,70,V
324,Lumin,70,V
327,Lumin,90,H
330,Lumin,90,V
333,Lumin,80,V
336,Lumin,70,H
339,Lumin,90,V
342,Lumin,100,V
345,Lumin,70,H
348,Lumin,70,V
351,Lumin,80,V
354,Lumin,90,H
357,Lumin,80,H
360,Lumin,100,V
363,Lumin,90,H
366,Lumin,100,H
369,Lumin,90,V
372,Lumin,80,V
375,Lumin,100,H
378,Lumin,90,V
631,Lumin,100,V
634,Lumin,100,H
637,Lumin,80,V
640,Lumin,100,V
643,Lumin,100,H
646,Lumin,90,H
649,Lumin,80,V
652,Lumin,90,H
658,Lumin,80,V
661,Lumin,80,H
664,Lumin,90,V
667,Lumin,90,V
670,Lumin,80,H
673,Lumin,90,V
676,Lumin,70,V
679,Lumin,90,H
682,Lumin,100,V
685,Lumin,80,V
688,Lumin,70,H
691,Lumin,70,V
694,Lumin,80,V
697,Lumin,80,H
700,Lumin,70,V
704,Lumin,70,H
710,Lumin,100,V
713,Lumin,70,H
716,Lumin,70,V
719,Lumin,90,V
722,Lumin,80,H
725,Lumin,100,H
728,Lumin,70,V
734,Lumin,90,V
737,Lumin,80,H
740,Lumin,100,H
743,Lumin,100,V
746,Lumin,70,H
749,Lumin,90,H
1131,Lumin,90,V
1134,Lumin,70,H
1137,Lumin,90,H
