Type,Orientation,Level,key
Colour,100,v,14
Colour,100,h,15
Colour,80,v,19
Colour,80,h,25
Colour,100,h,30
Colour,80,h,33
Colour,80,h,36
Colour,70,v,39
Colour,70,v,42
Colour,90,h,45
Colour,70,h,49
Colour,80,v,52
Colour,70,h,55
Colour,90,h,58
Colour,100,v,61
Colour,100,h,64
Colour,70,h,67
Colour,90,v,70
Colour,80,h,73
Colour,70,v,79
Colour,90,h,82
Colour,90,v,85
Colour,80,v,88
Colour,70,h,91
Colour,90,v,94
Colour,100,v,97
Colour,70,h,100
Colour,70,v,103
Colour,80,v,106
Colour,90,h,109
Colour,80,h,112
Colour,100,v,115
Colour,90,h,118
Colour,100,h,121
Colour,90,v,124
Colour,80,v,127
Colour,100,h,130
Colour,90,v,133
Gabor,100,v,138
Gabor,100,h,141
Gabor,80,v,144
Gabor,90,h,147
Gabor,100,h,150
Gabor,100,v,153
Gabor,80,h,156
Gabor,80,h,159
Gabor,70,v,162
Gabor,70,v,165
Gabor,70,h,171
Gabor,80,v,174
Gabor,70,h,177
Gabor,90,h,180
Gabor,100,v,183
Gabor,100,h,186
Gabor,70,h,189
Gabor,90,v,192
Gabor,80,h,195
Gabor,70,v,198
Gabor,70,v,201
Gabor,70,h,204
Gabor,90,v,207
Gabor,80,v,210
Gabor,70,h,213
Gabor,90,v,216
Gabor,100,v,219
Gabor,70,h,222
Gabor,70,v,225
Gabor,80,v,228
Gabor,90,h,231
Gabor,80,h,234
Gabor,100,v,237
Gabor,90,h,240
Gabor,100,h,243
Gabor,90,v,246
Gabor,80,v,249
Gabor,100,h,252
Gabor,90,v,255
Lumin,100,v,260
Lumin,100,h,263
Lumin,80,v,266
Lumin,70,h,269
Lumin,100,h,272
Lumin,100,v,276
Lumin,80,h,279
Lumin,80,h,282
Lumin,70,v,285
Lumin,70,v,288
Lumin,90,h,291
Lumin,70,h,294
Lumin,80,v,297
Lumin,70,h,300
Lumin,90,h,303
Lumin,100,v,306
Lumin,100,h,309
Lumin,70,h,312
Lumin,80,h,318
Lumin,70,v,321
Lumin,70,v,324
Lumin,90,h,327
Lumin,90,v,330
Lumin,80,v,333
Lumin,70,h,336
Lumin,90,v,339
Lumin,100,v,342
Lumin,70,h,345
Lumin,70,v,348
Lumin,80,v,351
Lumin,90,h,354
Lumin,80,h,357
Lumin,100,v,360
Lumin,90,h,363
Lumin,100,h,366
Lumin,90,v,369
Lumin,80,v,372
Lumin,100,h,375
Lumin,90,v,378
Color,100,v,383
Color,100,h,386
Color,80,v,389
Color,80,v,392
Color,100,v,395
Color,100,h,398
Color,90,h,401
Color,80,v,404
Color,90,h,407
Color,90,h,410
Color,80,v,413
Color,80,h,416
Color,90,v,419
Color,90,v,422
Color,80,h,425
Color,90,v,428
Color,70,v,431
Color,90,h,434
Color,100,v,437
Color,80,v,440
Color,70,h,443
Color,70,v,449
Color,80,v,452
Color,80,h,455
Color,70,v,458
Color,70,h,461
Color,90,h,464
Color,100,v,467
Color,70,h,470
Color,70,v,473
Color,90,v,476
Color,80,h,479
Color,100,h,482
Color,70,v,485
Color,70,h,488
Color,90,v,491
Color,80,h,494
Color,100,h,497
Color,100,v,500
Color,70,h,503
Color,100,h,506
Gabor,100,v,509
Gabor,100,h,512
Gabor,80,v,515
Gabor,100,v,518
Gabor,100,h,521
Gabor,90,h,524
Gabor,80,v,528
Gabor,90,h,531
Gabor,90,h,534
Gabor,80,v,537
Gabor,80,h,540
Gabor,90,v,543
Gabor,90,v,546
Gabor,80,h,549
Gabor,90,v,552
Gabor,70,v,555
Gabor,90,h,558
Gabor,100,v,562
Gabor,80,v,565
Gabor,70,h,568
Gabor,70,v,571
Gabor,80,v,574
Gabor,80,h,577
Gabor,70,v,580
Gabor,70,h,583
Gabor,90,h,586
Gabor,100,v,589
Gabor,70,h,592
Gabor,70,v,595
Gabor,90,v,598
Gabor,80,h,601
Gabor,100,h,604
Gabor,70,v,607
Gabor,70,h,610
Gabor,90,v,613
Gabor,80,v,616
Gabor,100,h,619
Gabor,100,v,622
Gabor,70,h,625
Gabor,100,h,628
Lumin,100,v,631
Lumin,100,h,634
Lumin,80,v,637
Lumin,100,v,640
Lumin,100,h,643
Lumin,90,h,646
Lumin,80,v,649
Lumin,90,h,652
Lumin,80,v,658
Lumin,80,h,661
Lumin,90,v,664
Lumin,90,v,667
Lumin,80,h,670
Lumin,90,v,673
Lumin,70,v,676
Lumin,90,h,679
Lumin,100,v,682
Lumin,80,v,685
Lumin,70,h,688
Lumin,70,v,691
Lumin,80,v,694
Lumin,80,h,697
Lumin,70,v,700
Lumin,70,h,704
Lumin,100,v,710
Lumin,70,h,713
Lumin,70,v,716
Lumin,90,v,719
Lumin,80,h,722
Lumin,100,h,725
Lumin,70,v,728
Lumin,90,v,734
Lumin,80,h,737
Lumin,100,h,739
Lumin,100,v,743
Lumin,70,h,746
Lumin,100,h,749
